index,type,period,attendances,breaches
142,1,2017-03-01,12697,3227
143,2,2017-03-01,1850,19
144,other,2017-03-01,6073,69
491,1,2017-02-01,10612,2793
492,2,2017-02-01,1606,26
493,other,2017-02-01,5349,34
837,1,2017-01-01,11691,4146
838,2,2017-01-01,1711,28
839,other,2017-01-01,5928,68
1183,1,2016-12-01,12221,4881
1184,2,2016-12-01,1569,13
1185,other,2016-12-01,6538,79
1529,1,2016-11-01,12570,4447
1530,2,2016-11-01,1794,48
1531,other,2016-11-01,6153,96
1874,1,2016-10-01,12514,4333
1875,2,2016-10-01,1841,38
1876,other,2016-10-01,6115,68
2218,1,2016-09-01,12668,3818
2219,2,2016-09-01,1816,31
2220,other,2016-09-01,5069,83
2562,1,2016-08-01,12098,3716
2563,2,2016-08-01,1844,71
2564,other,2016-08-01,5435,72
2908,1,2016-07-01,12275,4450
2909,2,2016-07-01,1925,138
2910,other,2016-07-01,5949,64
3253,1,2016-06-01,12094,3613
3254,2,2016-06-01,1802,85
3255,other,2016-06-01,5566,73
3599,1,2016-05-01,12817,4080
3600,2,2016-05-01,1848,57
3601,other,2016-05-01,6318,90
3945,1,2016-04-01,11449,3406
3946,2,2016-04-01,1895,122
3947,other,2016-04-01,5580,21
4285,1,2018-03-01,17906,5934
4286,2,2018-03-01,1760,28
4657,1,2018-02-01,16531,5165
4658,2,2018-02-01,1628,14
5029,1,2018-01-01,18173,4970
5030,2,2018-01-01,1735,16
5393,1,2017-12-01,18473,5705
5394,2,2017-12-01,1591,10
5753,1,2017-11-01,18807,4180
5754,2,2017-11-01,1769,13
6109,1,2017-10-01,18587,3526
6110,2,2017-10-01,1824,9
6460,1,2017-09-01,17762,3083
6461,2,2017-09-01,1632,25
6808,1,2017-08-01,16687,3051
6809,2,2017-08-01,1613,18
7153,1,2017-07-01,17383,3823
7154,2,2017-07-01,1707,40
7498,1,2017-06-01,17603,4302
7499,2,2017-06-01,1706,23
7843,1,2017-05-01,18691,4813
7844,2,2017-05-01,1749,40
8187,1,2017-04-01,13254,3495
8188,2,2017-04-01,1662,12
8189,other,2017-04-01,4623,200
8530,1,2019-03-01,21059,5675
8531,2,2019-03-01,1940,46
8888,1,2019-02-01,18472,4762
8889,2,2019-02-01,1620,48
9247,1,2019-01-01,19990,6319
9248,2,2019-01-01,1692,28
9607,1,2018-12-01,20073,5721
9608,2,2018-12-01,1551,16
9969,1,2018-11-01,20405,6016
9970,2,2018-11-01,1771,62
10332,1,2018-10-01,19610,4602
10333,2,2018-10-01,1884,53
10696,1,2018-09-01,18696,4151
10697,2,2018-09-01,1704,29
11060,1,2018-08-01,18073,4682
11061,2,2018-08-01,1812,26
11425,1,2018-07-01,18890,4861
11426,2,2018-07-01,1866,48
11796,1,2018-06-01,18353,3613
11797,2,2018-06-01,1880,30
12167,1,2018-05-01,18988,2436
12168,2,2018-05-01,1763,22
12538,1,2018-04-01,17840,4615
12539,2,2018-04-01,1678,46
